Issue Type,Summary,Priority
Suggestion,Add keyboard shortcuts to filters (or maybe to dashboard widgets in general),
Bug,JqlClauseBuilder.orderBy().issueId() actually orders by issue key,Low
Suggestion,"As a user, I want to view reviewers in Jira in the People section of the full view and in the Card view.",
Suggestion,Provide more information before starting a reindex,
Sub-task,Enable searching comments and descriptions by email domain,
Suggestion,Extend support for ActionsAndOperations JavaScript to handle non-issue dropdowns,
Suggestion,Error message on deleting link between issues : You do not have permissions to delete a link,
Suggestion,Make the JIRA Configuration Tool's 'Save' button only save the configuration of the currently selected tab.,
Bug,Can't find all of issues assigned to me,Medium
Suggestion,JIRA's notification sheme should have recipients and cc.,
Suggestion,Jira installer to ask user about action on creating a new jira user,
Suggestion,JIRA should not count Crowd users that are set as inactive on Crowd side as a licensed user,
Sub-task,Allow JQL to query other Atlassian products,
Suggestion,URL encoding of spaces,
Suggestion,"Usability Improvement: Highlight Issue ""Key"" Fields in Issue Viewer Screen",
Suggestion,Configure Global Logo Width And Height In JIRA 4.4,
Bug,Top navigation plugin point can't handle exceptions and once it's busted it's busted forever,Low
Suggestion,inconsistent naming convenience for db schema,
Suggestion,"Add keyboard shortcut for ""assign to me""",
Suggestion,Updating a change to the Issue Type Scheme for a Project returns to the Issue Type screen instead of the Project screen,
Suggestion,"Provide ""tag wiki"" features to add description and redirection to tag",
Bug,addComment returns nothing,Medium
Suggestion,EAP Feedback - JIRA 5.0,
Suggestion,Administer Timezone settings,
Suggestion,Restore issue-type-specific custom field values when moving an issue to a new project or changing type,
Suggestion,Should be able to make reporter inviolable,
Bug,Add title text to workflow lozenges,Low
Suggestion,Support fuzzy matching for the Labels field.,
Suggestion,Installer needs to validate suitability of used OS (32 bit v 64bit),
Suggestion,On upgrade Installer needs to migrate content of server.xml  or warn users,
Suggestion,Auth token expires too quickly; no way to configure alternative time,
Suggestion,Add ability to set the size of the 'Workflow' group in the 'Operations' bar to 0,
Suggestion,"When we edit a filter and save it, the operation is not usability.",
Suggestion,Cannot find my issue when operate to link issue ,
Suggestion,"Improve JIRA issue button bar by hiding unnecessary ""More"" buttons and adding labels for button groups",
Suggestion,Recommended OSX download version for JIRA 4.4 is the wrong one,
Suggestion,"Configure JIRA, Confluence and Crowd to run as a Windows Service",
Suggestion,"Allow the naming of the velocity resource using ""content"" in the definition of a project-operation module",
Suggestion,Allow subclass of DefaultPluggableProjectOperation to provide an i18n key for the label and other parameters instead of building the label and html-encode it,
Suggestion,"Replace the default jira-administrators, jira-users and jira-developers groups with administrators, users and developers for new installs (as they are in Studio)?",
Suggestion,Bulk Edit Add/Remove/Replace  Label Option (instead of replace only),
Suggestion,Searching for menu operations common across plugin and JIRA in admin quick search always bring plugin options first.,
Bug,"Linked Issues does not enforce ""Required"" in Field Configuration Scheme",Medium
Suggestion,Component description translation keys is not in the language pack,
Bug,Leaking of password reset tokens via referrer header,Low
Bug,WAR distribution script and process for creating WAR file must be changed now that we use dbconfig.xml instead of entityengine.xml,Medium
Suggestion,Improve database setup wording,
Bug,Jira setup wizard doesn't auto focus first form element,Low
Suggestion,Clear errors if database settings are correct and Next is clicked,
Suggestion,Point users to upgrade documentation if they try to connect to db with existing jira data.,
Suggestion,Filter by directory in User Browser,
Bug,Wiki markup attachment links do not point to the latest version of attachment,Low
Suggestion,Needed a chart that displays number of reported bugs by each user per month,
Suggestion,IssueTabPanelModuleDescriptor.getHtml doesn't report resource names which don't exist,
Suggestion,Capture offending plugin causing 'issue.id is not a valid reference' error,
Suggestion,Add Modify Fix Version to Issue Permissions,
Suggestion,IssueTabPanelModuleDescriptor calls IssueTabPanel.showPanel twice per request,
Suggestion,Remove swear words from Captcha,
Suggestion,Allow number of indexing threads to be configured,
Suggestion,Allow for bulk chages in the Field Configuration editor,
Suggestion,My Favourite Projects List,
Suggestion,Documentation needed for upgrade error java.sql.SQLException: ORA-12899,
Suggestion,"When adding/editing a workflow transition, it is not possible to add an individual condition which is separate from the outermost grouped condition.",
Bug,"Autocomplete on issue links, user pickers, etc. should be cancelled when form field is exited",Low
Suggestion,A form with an error should be considered to be dirty and prompt if the user leaves the page.,
Bug,Context cannot set different values for different issue types within the same project,Low
Bug,"JIRA ""Import Existing Data"" file location is wrong.",Low
Suggestion,Allow Label edit/deletion through UI,
Suggestion,Admin Gadget warning box contradicts best-practice guidelines about XML backups,
Bug,Response is not well-formed XML while posting comment using SOAP,Highest
Bug,Heading styles in Preview do not match heading styles when the comment...,Low
Suggestion,Ship source code for all standard plugins,
Suggestion,Limit the component number to one in a search query,
Suggestion,Unable to configure visible fields in Linked Issue columns,
Suggestion,Display description of transition in transition screen,
Suggestion,"Introduce ""X-XSS-Protection"" HTTP header ",
Suggestion,Enable X-FRAME-Options header to implement clickjacking protection,
Suggestion,Allow JIRA administrators to import XML workflows,
Suggestion,Don't prompt for unnecessary status mapping changes in workflow migration,
Suggestion,Applying filter for Quick Search,
Suggestion,Optimize the reindexing process when upgrading thru multiple versions of JIRA,
Suggestion,Modify Workflow Scheme for multiple projects at once,
Suggestion,Allow to change the Workflow Scheme name,
Suggestion,Allow to import multiple projects,
Bug,Reduce deadlocks in PicoContainer after imports,Medium
Suggestion,Single-click button to change fix version,
Bug,The VWD does not validate the addition of Statuses by their 'Step Name (id)' - which can lead to duplicate step names and 'Java Service Fault' errors.,Medium
Bug,I get spurious exception when running TestUpgradeTask604.testDoUpgrade,Medium
Bug,"I got a ""gray screen on death"" when changing the projects e-mail server.",Low
Bug,workflow designer - not sitting in admin area correctly,Medium
Bug,JS error when opening navbar menu dropdown twice before ajax request completes,Low
Bug,"Clicking on ""Delete"" link for project, takes user back to the Projects page after websudo authentication.",Medium
Bug,Inconsistent behaviour when adding and editing component lead with spaces,Low
Bug,Some email notifcations don't thread properly because the second one is missing an In-Reply-To header,Low
Bug,Session timeout handling is not consistent for project tabs.,Low
Bug,Linked issues drop-down does not show full history on Create Issue page,Low
